SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.021978375,40,0,0.4437556239999999,10000.0,12,0,5,0,2.0
0,0.443696851,27,0,0.024340075,5833.0,4,0,0,0,0.0
0,0.007506793,60,0,1253.0,,8,0,1,0,1.0
0,0.0466403279999999,92,1,0.034326669,2650.0,13,0,0,0,0.0
0,0.2923659489999999,50,0,0.420180551,8750.0,8,0,2,0,0.0
0,0.20808276,64,0,2826.0,,14,0,2,0,0.0
0,0.9999999,66,1,0.358101135,1937.0,4,1,0,0,0.0
0,0.013500824,53,0,0.183464028,19000.0,8,0,1,0,2.0
0,0.9999999,62,0,0.04965839,6000.0,1,0,0,0,0.0
1,0.655316473,63,0,5223.0,,19,0,2,0,0.0
0,0.9999999,50,2,1208.0,,4,0,1,0,0.0
0,0.028113957,61,0,0.031349387,2200.0,12,0,0,0,0.0
0,0.2226962069999999,42,0,800.0,1.0,3,0,1,0,2.0
0,0.593985244,63,0,0.332698534,5250.0,4,0,2,0,0.0
0,0.017508178,73,1,0.135589153,4166.0,12,0,1,0,0.0
0,0.611865678,72,0,0.04578345,7600.0,3,0,1,0,0.0
0,0.333060631,52,3,0.7001533740000001,5215.0,15,0,2,1,0.0
0,0.009025178,45,0,0.376836435,8167.0,4,0,1,0,2.0
0,0.260271523,44,0,0.2968548039999999,6962.0,11,0,1,0,0.0
0,0.455950788,63,1,0.701766078,6001.0,19,0,2,0,0.0
0,0.080288098,37,0,0.322446259,6000.0,7,0,1,0,0.0
1,1.953488372,38,0,0.153500141,3556.0,5,0,0,0,2.0
0,0.181557324,36,0,0.56071964,2000.0,7,0,1,0,1.0
0,0.147123525,41,0,0.436025621,6400.0,5,0,1,0,2.0
0,0.025601772,63,1,0.262773723,10000.0,8,0,1,0,0.0
0,0.0,76,0,0.002465931,7704.0,3,0,0,0,0.0
0,0.196372799,43,0,0.5374855820000001,2600.0,10,0,1,0,0.0
0,0.0839452419999999,64,0,0.588073078,2900.0,6,0,1,0,0.0
0,0.034833091,67,0,0.460246187,12916.0,9,0,2,0,0.0
0,0.787522133,52,0,0.353860086,4416.0,12,0,0,0,1.0
0,0.0,66,0,3730.0,,8,0,1,0,0.0
0,0.125429152,55,0,0.476704659,5000.0,3,0,2,0,0.0
0,0.06037487,42,0,0.578676723,5833.0,17,0,2,0,2.0
0,0.9999999,28,0,0.0,,0,0,0,0,
0,0.295928252,47,0,0.283765445,14000.0,6,0,2,0,1.0
1,0.973339258,61,1,0.209961825,5500.0,11,0,0,1,1.0
0,0.002856735,73,0,0.000285687,10500.0,10,0,0,0,0.0
0,0.8775648970000001,58,0,2825.0,,10,0,2,0,0.0
0,0.9999999,68,0,0.040493251,6000.0,0,0,0,0,0.0
0,0.053431552,41,0,0.20364404,9000.0,3,0,1,0,0.0
0,0.732660667,44,2,0.14041952,9200.0,15,0,1,0,0.0
0,0.084220458,42,0,0.4585511579999999,6694.0,26,0,2,0,4.0
0,0.114561798,40,0,0.359964004,10000.0,20,0,2,0,2.0
0,0.012151003,78,0,0.008886914,4500.0,12,0,0,0,0.0
0,0.081310737,81,0,0.165566887,3333.0,4,0,0,0,0.0
0,0.09811305,49,0,0.257017809,6625.0,9,0,2,0,0.0
1,1.048210842,58,7,0.151956584,3500.0,12,0,0,0,0.0
0,0.011883886,54,0,0.092913547,9750.0,8,0,1,0,2.0
0,0.75264947,33,1,0.058322869,7166.0,6,0,0,0,0.0
0,0.112321289,53,0,0.266909775,8500.0,9,0,1,0,5.0
0,0.0,23,0,0.0,1725.0,1,0,0,0,0.0
0,0.6343270560000001,49,1,0.123125125,15000.0,7,0,0,0,1.0
0,0.15576324,44,0,0.278077082,4825.0,4,0,1,0,2.0
0,0.0,63,0,0.0079889219999999,9387.0,9,0,0,0,0.0
0,0.0906148869999999,42,0,86.0,,5,0,0,0,0.0
0,0.034645112,65,0,0.125189985,12500.0,4,0,1,0,1.0
0,0.0274463829999999,54,0,1612.0,,6,0,1,0,0.0
0,0.412398622,28,0,0.037259615,4991.0,5,0,0,0,0.0
0,0.024670782,78,0,392.0,,6,0,1,0,
0,0.0467109609999999,66,0,1.117952819,2500.0,12,0,1,0,0.0
0,0.976531824,32,0,0.264078812,6800.0,6,0,0,0,2.0
0,0.007982621,43,1,0.009691169,208333.0,11,0,1,0,1.0
0,0.267541336,59,0,0.637607437,5700.0,13,0,2,0,1.0
0,0.019779326,76,0,0.267149259,2900.0,9,0,0,0,0.0
0,0.010402205,68,0,0.0941405169999999,3600.0,6,0,1,0,0.0
0,0.9999999,61,0,0.529548989,1285.0,3,0,1,0,0.0
0,0.029816467,68,0,0.175139978,4464.0,12,0,1,0,1.0
0,0.181713732,57,0,0.130453416,11666.0,17,0,1,0,1.0
0,0.051368557,68,0,0.445277361,4668.0,10,0,1,0,2.0
0,0.29264536,57,0,0.2059278839999999,26484.0,11,0,2,0,3.0
1,0.2208237189999999,46,1,0.637749121,1705.0,5,0,0,0,0.0
0,0.008099838,69,0,0.389895596,8332.0,3,0,1,0,0.0
0,0.0,44,0,0.326383681,6666.0,4,0,2,0,1.0
0,0.006099797,28,0,0.139429485,3750.0,8,0,0,0,0.0
0,0.909538698,53,1,0.5956539129999999,7500.0,16,0,1,0,1.0
0,0.941072508,40,0,0.178184282,8855.0,9,0,1,0,0.0
0,0.991667222,36,1,0.554878049,5411.0,10,0,2,0,1.0
0,0.6914884179999999,42,0,0.272721679,16250.0,11,0,1,0,1.0
0,0.112855258,64,0,0.307576329,2652.0,6,0,1,0,0.0
0,0.260971034,57,0,5439.0,,16,0,3,0,
0,0.048244493,62,0,0.262879153,16615.0,11,0,1,0,1.0
0,0.9999999,47,0,0.092163472,9493.0,2,2,0,1,0.0
0,0.9999999,62,0,0.0,5480.0,3,0,0,0,0.0
0,0.074256375,49,0,0.3479304139999999,5000.0,11,0,2,0,3.0
0,0.144878408,66,0,0.28446242,8900.0,9,0,1,0,0.0
0,0.1910019319999999,54,0,0.7056277059999999,5081.0,10,0,2,0,2.0
0,0.2193828789999999,56,1,942.0,,9,0,1,0,1.0
0,0.679813777,83,0,0.6895897559999999,4216.0,6,0,2,0,0.0
0,2340.0,45,0,0.339332853,8333.0,7,0,2,0,2.0
0,0.371875401,29,0,0.53628857,2300.0,9,0,1,0,3.0
0,0.0258564079999999,67,0,0.083799311,13054.0,13,0,1,0,0.0
0,0.547887778,29,1,0.24651504,2725.0,5,0,0,1,0.0
0,0.271668778,46,1,0.282830201,15800.0,14,0,2,0,4.0
0,0.085152475,25,0,1005.0,0.0,5,0,0,0,0.0
0,0.897203427,68,0,0.7878030490000001,4000.0,8,0,2,0,0.0
0,0.25889775,33,0,0.537441339,4900.0,3,0,1,0,1.0
0,0.0,55,1,0.03988553,5590.0,8,0,0,0,0.0
0,0.035940506,46,0,0.271186441,6666.0,10,0,1,0,3.0
0,0.9999999,66,0,0.0466339109999999,11600.0,2,0,0,0,1.0
0,0.465238835,66,0,0.391427671,3172.0,8,1,1,0,0.0
0,0.8654230509999999,48,0,0.0758483029999999,500.0,1,0,0,0,0.0
0,0.6964116709999999,52,0,0.408871921,11000.0,11,0,1,0,4.0
0,0.5444976579999999,32,1,0.166766647,6667.0,5,1,0,0,0.0
0,0.081238383,51,0,0.066830086,7750.0,14,0,0,0,2.0
0,0.948762809,27,0,0.144948404,4166.0,5,0,0,0,0.0
0,0.0,32,2,0.463610776,7460.0,10,0,1,1,0.0
0,0.016598893,30,0,0.1365756159999999,1500.0,5,0,0,0,0.0
0,0.063329564,37,0,0.329935275,6179.0,6,0,1,0,3.0
0,0.093638481,49,0,0.0428365729999999,8333.0,10,0,0,0,1.0
0,0.0,37,0,0.184027338,7900.0,5,0,1,0,5.0
0,0.730271957,36,1,0.632794037,5500.0,10,0,2,0,0.0
0,0.426371142,62,1,0.406053995,3666.0,15,0,1,0,0.0
0,0.948978489,57,0,0.043744532,8000.0,3,0,0,0,1.0
0,0.0,59,0,0.0,4200.0,7,0,0,0,1.0
0,1.00264667,38,2,0.472542946,3550.0,8,1,0,1,4.0
0,0.0164781,92,0,10.0,,3,0,0,0,0.0
0,0.042606843,58,0,3976.0,,13,0,3,0,0.0
0,0.022890604,37,0,0.2884772989999999,6100.0,16,0,1,0,0.0
0,0.283821988,63,0,0.7502008029999999,1244.0,9,0,0,0,0.0
0,0.319779462,32,0,1.247340213,12500.0,12,0,8,0,0.0
0,0.155240525,52,0,0.483518065,6946.0,15,0,2,0,1.0
0,0.013115183,43,0,4211.0,0.0,21,0,2,0,2.0
0,0.067259209,29,1,0.168340507,2090.0,3,0,0,0,0.0
0,0.284236153,45,1,0.318890815,7500.0,9,0,1,0,2.0
0,0.727560021,38,0,0.7124587459999999,2423.0,6,0,1,0,1.0
0,0.6877790970000001,62,0,0.249471161,7090.0,15,0,0,0,0.0
0,0.9999999,29,0,0.0,,0,0,0,0,0.0
0,0.033708851,41,0,0.4087063529999999,6500.0,9,0,1,0,2.0
0,0.0,29,0,0.193935355,3000.0,7,0,0,0,0.0
1,0.03719769,47,0,0.03975841,25000.0,11,0,1,0,3.0
0,0.0,55,1,0.388320836,4400.0,4,0,2,0,1.0
0,0.053589282,87,0,0.001534331,5213.0,4,0,0,0,0.0
0,0.100773109,41,0,0.199761673,9230.0,7,0,1,0,0.0
0,0.0,61,0,1.3949671769999998,913.0,11,0,2,0,0.0
0,0.399946674,28,0,0.1897025739999999,4000.0,6,0,0,0,1.0
0,0.052653171,43,0,0.5722921910000001,1984.0,9,0,0,0,4.0
0,0.072318616,71,0,0.426412462,4300.0,8,0,2,0,1.0
0,0.203959597,46,0,0.072914726,16100.0,6,0,1,0,2.0
0,0.9999999,30,0,0.090341011,5600.0,1,0,0,0,0.0
1,0.880370887,43,0,0.4613237639999999,7523.0,6,0,1,0,1.0
0,0.429246267,59,0,0.381254316,15928.0,17,0,1,0,1.0
0,0.0,47,0,773.0,,2,0,1,0,1.0
0,0.049529205,61,0,542.0,,15,0,0,0,0.0
0,0.360907571,72,0,0.356679286,3697.0,6,0,1,0,0.0
0,0.335737457,50,0,0.45722203,5773.0,9,0,1,0,1.0
1,0.635720859,68,1,0.2180712769999999,25000.0,27,0,3,0,0.0
0,0.0,58,0,8380.0,,20,0,5,0,0.0
0,0.507972665,69,2,0.193935355,3000.0,10,2,0,2,0.0
0,0.245841666,71,0,151.0,,5,0,0,0,0.0
1,0.953343701,48,2,2073.0,,5,1,2,2,0.0
0,0.9999999,37,0,0.1846256389999999,4500.0,2,0,0,0,1.0
0,0.1188538369999999,50,0,2720.0,,7,0,1,0,2.0
0,0.630073985,38,0,0.563328034,1886.0,3,0,1,0,0.0
0,0.9999999,35,0,3388.0,,1,0,1,0,0.0
0,0.028423247,59,0,0.033982276,14330.0,12,0,1,0,0.0
0,0.143427862,67,0,0.119463561,5666.0,9,0,0,0,0.0
0,0.186682782,30,0,0.698120752,2500.0,7,0,2,0,2.0
0,0.496388581,56,0,0.170164956,19580.0,12,0,1,0,1.0
0,0.457526639,51,0,0.3335833019999999,8000.0,16,0,2,0,2.0
0,0.7282181190000001,40,1,3878.0,,10,0,2,0,0.0
0,0.947264856,28,0,0.467171717,1187.0,4,0,0,0,0.0
0,0.013916922,54,0,0.017655818,4700.0,7,0,0,0,2.0
0,0.066347297,46,1,4480.0,,6,0,2,0,0.0
0,0.502958087,57,0,6381.0,,5,0,2,0,0.0
0,1.047495906,35,2,0.314566116,3871.0,8,0,2,1,3.0
0,0.012586354,79,0,0.009596162,2500.0,11,0,0,0,0.0
0,0.543445655,46,0,0.267146571,5000.0,6,0,2,0,3.0
0,0.026580302,79,0,1063.0,,7,0,1,0,0.0
0,0.082317351,64,0,0.214426305,8636.0,29,0,1,0,1.0
0,0.292541492,74,0,0.164917541,2000.0,3,0,0,0,0.0
0,0.024240472,64,0,0.1015141419999999,10500.0,20,0,1,0,0.0
0,0.047650102,63,0,0.387956894,9000.0,6,0,2,0,0.0
1,0.7391464879999999,63,1,0.285156885,6150.0,12,0,0,0,1.0
0,0.186890655,54,0,0.655589124,3640.0,7,0,1,0,1.0
0,0.0075019369999999,63,0,0.278226307,8050.0,13,0,2,0,3.0
0,0.522314625,45,0,0.2902290919999999,14491.0,13,0,1,0,3.0
0,0.9999999,22,0,130.0,,0,0,0,0,
0,0.571604587,66,0,870.0,,12,0,0,0,
0,0.903231566,57,0,0.13080895,5228.0,10,0,0,0,0.0
0,0.017043518,43,0,0.10821382,2300.0,6,0,0,0,1.0
0,0.0607333959999999,61,0,0.008549573,20000.0,8,0,0,0,0.0
0,0.000582648,54,0,2028.0,,13,0,1,0,1.0
0,0.0038946859999999,90,0,876.0,,11,0,1,0,0.0
0,0.250008365,60,0,2.086478612,7550.0,26,0,0,0,0.0
0,0.466334165,34,2,0.007495315,3201.0,3,0,0,0,0.0
0,0.114588541,38,0,34.0,,2,0,0,0,0.0
0,0.9999999,60,0,0.0,4200.0,0,0,0,0,0.0
0,0.2679056139999999,76,0,0.2854529939999999,8200.0,12,0,0,0,0.0
0,0.029694361,76,0,0.070513488,9600.0,7,0,0,0,2.0
